,title,tags,movie_id
0,Avatar,"22nd century, parapleg marin dispatch moon pandora uniqu mission, becom torn between follow order protect alien civilization. action adventur fantasi sciencefict cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d samworthington zoesaldana sigourneyweav 22nd century, parapleg marin dispatch moon pandora uniqu mission, becom torn between follow order protect alien civilization.",19995
1,Pirates of the Caribbean: At World's End,"captain barbossa, long believ dead, come back life head edg earth with will turner elizabeth swann. noth quit seems. adventur fantasi action ocean drugabus exoticisland eastindiatradingcompani loveofone'slif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley captain barbossa, long believ dead, come back life head edg earth with will turner elizabeth swann. noth quit seems.",285
2,Spectre,"cryptic messag bond’ past send trail uncov sinist organization. while m battl polit forc keep secret servic alive, bond peel back layer deceit reveal terribl truth behind spectre. action adventur crime spi basedonnovel secretag sequel mi6 britishsecretservic unitedkingdom danielcraig christophwaltz léaseydoux cryptic messag bond’ past send trail uncov sinist organization. while m battl polit forc keep secret servic alive, bond peel back layer deceit reveal terribl truth behind spectre.",206647
3,The Dark Knight Rises,"follow death district attorney harvey dent, batman assum respons for dent' crime protect late attorney' reput subsequ hunt by gotham citi polic department. eight year later, batman encount mysteri selina kyle villain bane, new terrorist leader who overwhelm gotham' finest. dark knight resurfac protect citi that brand enemy. action crime drama thriller dccomic crimefight terrorist secretident burglar hostagedrama timebomb gothamc vigilant cover-up superhero villai tragichero terror destruct catwoman catburglar imax flood criminalunderworld batman christianbal michaelcain garyoldman follow death district attorney harvey dent, batman assum respons for dent' crime protect late attorney' reput subsequ hunt by gotham citi polic department. eight year later, batman encount mysteri selina kyle villain bane, new terrorist leader who overwhelm gotham' finest. dark knight resurfac protect citi that brand enemy.",49026
4,John Carter,"john carter war-weary, former militari captain who' inexplic transport mysteri exot planet barsoom (mars) reluctantli becom embroil epic conflict. it' world brink collapse, carter rediscov hi human when he realiz surviv barsoom it peopl rest hi hands. action adventur sciencefict basedonnovel mar medallion spacetravel princess alien steampunk martian escap edgarriceburrough alienrac superhumanstrength marscivil swordandplanet 19thcenturi 3d taylorkitsch lynncollin samanthamorton john carter war-weary, former militari captain who' inexplic transport mysteri exot planet barsoom (mars) reluctantli becom embroil epic conflict. it' world brink collapse, carter rediscov hi human when he realiz surviv barsoom it peopl rest hi hands.",49529
5,Spider-Man 3,"seemingli invinc spider-man goe up against all-new crop villain – includ shape-shift sandman. while spider-man’ superpow are alter by alien organism, hi alter ego, peter parker, deal with nemesi eddi brock also get caught up love triangle. fantasi action adventur dualident amnesia sandstorm loveofone'slif forgiv spider wretch deathofafriend egomania sand narcism hostil marvelcom sequel superhero reveng tobeymaguir kirstendunst jamesfranco seemingli invinc spider-man goe up against all-new crop villain – includ shape-shift sandman. while spider-man’ superpow are alter by alien organism, hi alter ego, peter parker, deal with nemesi eddi brock also get caught up love triangle.",559
6,Tangled,"when kingdom' most wanted-and most charming-bandit flynn rider hide out mysteri tower, he' taken hostag by rapunzel, beauti feisti tower-bound teen with 70 feet magical, golden hair. flynn' curiou captor, who' look for her ticket out tower where she' been lock away for years, strike deal with handsom thief unlik duo set off action-pack escapade, complet with super-cop horse, over-protect chameleon gruff gang pub thugs. anim famili hostag magic hors fairytal music princess anim tower blondewoman selfish healingpow basedonfairytal duringcreditssting healinggift animalsidekick zacharylevi mandymoor donnamurphi when kingdom' most wanted-and most charming-bandit flynn rider hide out mysteri tower, he' taken hostag by rapunzel, beauti feisti tower-bound teen with 70 feet magical, golden hair. flynn' curiou captor, who' look for her ticket out tower where she' been lock away for years, strike deal with handsom thief unlik duo set off action-pack escapade, complet with super-cop horse, over-protect chameleon gruff gang pub thugs.",38757
7,Avengers: Age of Ultron,"when toni stark tri jumpstart dormant peacekeep program, thing go awri earth’ mightiest hero are put ultim test fate planet hang balance. villain ultron emerges, up aveng stop enact hi terribl plans, soon uneasi allianc unexpect action pave way for epic uniqu global adventure. action adventur sciencefict marvelcom sequel superhero basedoncomicbook vision superheroteam duringcreditssting marvelcinematicunivers 3d robertdowneyjr. chrishemsworth markruffalo when toni stark tri jumpstart dormant peacekeep program, thing go awri earth’ mightiest hero are put ultim test fate planet hang balance. villain ultron emerges, up aveng stop enact hi terribl plans, soon uneasi allianc unexpect action pave way for epic uniqu global adventure.",99861
8,Harry Potter and the Half-Blood Prince,"harri begin hi sixth year at hogwarts, he discov old book mark 'properti half-blood prince', begin learn more about lord voldemort' dark past. adventur fantasi famili witch magic broom schoolofwitchcraft wizardri apparit teenagecrush werewolf danielradcliff rupertgrint emmawatson harri begin hi sixth year at hogwarts, he discov old book mark 'properti half-blood prince', begin learn more about lord voldemort' dark past.",767
9,Batman v Superman: Dawn of Justice,"fear action god-lik super hero left unchecked, gotham city’ own formidable, forc vigilant take metropolis’ most revered, modern-day savior, while world wrestl with what sort hero realli needs. with batman superman at war with one another, new threat quickli arises, put mankind greater danger than it’ ever known before. action adventur fantasi dccomic vigilant superhero basedoncomicbook reveng superpow clarkkent brucewayn dcextendedunivers benaffleck henrycavil galgadot fear action god-lik super hero left unchecked, gotham city’ own formidable, forc vigilant take metropolis’ most revered, modern-day savior, while world wrestl with what sort hero realli needs. with batman superman at war with one another, new threat quickli arises, put mankind greater danger than it’ ever known before.",209112
10,Superman Returns,"superman return discov hi 5-year absenc allow lex luthor walk free, that those he wa closest too felt abandon have move on. luthor plot hi ultim reveng that could see million kill chang face planet forever, well rid himself man steel. adventur fantasi action sciencefict savingtheworld dccomic invulner sequel superhero basedoncomicbook kryptonit superpow superhumanstrength lexluthor brandonrouth kevinspacey katebosworth superman return discov hi 5-year absenc allow lex luthor walk free, that those he wa closest too felt abandon have move on. luthor plot hi ultim reveng that could see million kill chang face planet forever, well rid himself man steel.",1452
11,Quantum of Solace,"quantum solac continu adventur jame bond after casino royale. betray by vesper, woman he loved, 007 fight urg make hi latest mission personal. pursu hi determin uncov truth, bond m interrog mr. white, who reveal that organ that blackmail vesper far more complex danger than anyon imagined. adventur action thriller crime kill undercov secretag britishsecretservic danielcraig olgakurylenko mathieuamalr quantum solac continu adventur jame bond after casino royale. betray by vesper, woman he loved, 007 fight urg make hi latest mission personal. pursu hi determin uncov truth, bond m interrog mr. white, who reveal that organ that blackmail vesper far more complex danger than anyon imagined.",10764
12,Pirates of the Caribbean: Dead Man's Chest,"captain jack sparrow work hi way out blood debt with ghostli davey jones, he also attempt avoid etern damnation. adventur fantasi action witch fortunetel bondag exoticisland monster captain cardgam eastindiatradingcompani compass ship daughter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley captain jack sparrow work hi way out blood debt with ghostli davey jones, he also attempt avoid etern damnation.",58
13,The Lone Ranger,"texa ranger chase down gang outlaw led by butch cavendish, gang ambush rangers, seemingli kill them all. one survivor found, however, by american indian name tonto, who nurs back health. ranger, don mask ride white stallion name silver, team up with tonto bring unscrupul gang other that ilk justice. action adventur western texa hors survivor texasrang partner outlaw escap lawyer train lonerang comanch thelonerang tonto johnnydepp armiehamm williamfichtn texa ranger chase down gang outlaw led by butch cavendish, gang ambush rangers, seemingli kill them all. one survivor found, however, by american indian name tonto, who nurs back health. ranger, don mask ride white stallion name silver, team up with tonto bring unscrupul gang other that ilk justice.",57201
14,Man of Steel,"young boy learn that he extraordinari power not thi earth. young man, he journey discov where he came what he wa sent here do. hero must emerg if he save world annihil becom symbol hope for all mankind. action adventur fantasi sciencefict savingtheworld dccomic superhero basedoncomicbook superhuman alieninvas reboot superpow dcextendedunivers henrycavil amyadam michaelshannon young boy learn that he extraordinari power not thi earth. young man, he journey discov where he came what he wa sent here do. hero must emerg if he save world annihil becom symbol hope for all mankind.",49521
15,The Chronicles of Narnia: Prince Caspian,"one year after their incred adventur lion, witch wardrobe, peter, edmund, luci susan pevensi return narnia aid young princ whose life been threaten by evil king miraz. now, with help color cast new characters, includ trufflehunt badger nikabrik dwarf, pevensi clan embark incred quest ensur that narnia return it right heir. adventur famili fantasi basedonnovel fictionalplac brothersisterrelationship lion humanb wretch leapintim matteroflifeanddeath faith uncl narnia fantasyworld benbarn williammoseley annapopplewel one year after their incred adventur lion, witch wardrobe, peter, edmund, luci susan pevensi return narnia aid young princ whose life been threaten by evil king miraz. now, with help color cast new characters, includ trufflehunt badger nikabrik dwarf, pevensi clan embark incred quest ensur that narnia return it right heir.",2454
16,The Avengers,"when unexpect enemi emerg threaten global safeti security, nick fury, director intern peacekeep agenc known s.h.i.e.l.d., find himself need team pull world back brink disaster. span globe, dare recruit effort begins! sciencefict action adventur newyork shield marvelcom superhero basedoncomicbook alieninvas superheroteam aftercreditssting duringcreditssting marvelcinematicunivers robertdowneyjr. chrisevan markruffalo when unexpect enemi emerg threaten global safeti security, nick fury, director intern peacekeep agenc known s.h.i.e.l.d., find himself need team pull world back brink disaster. span globe, dare recruit effort begins!",24428
17,Pirates of the Caribbean: On Stranger Tides,"captain jack sparrow cross path with woman hi past, he' not sure if it' love -- if she' ruthless con artist who' use find fabl fountain youth. when she forc aboard queen anne' revenge, ship formid pirat blackbeard, jack find himself unexpect adventur which he doesn't know who fear more: blackbeard woman hi past. adventur action fantasi sea captain mutini sword primeminist sail silver ship duke mermaid pirat soldier battl swashbuckl aftercreditssting 3d johnnydepp penélopecruz ianmcshan captain jack sparrow cross path with woman hi past, he' not sure if it' love -- if she' ruthless con artist who' use find fabl fountain youth. when she forc aboard queen anne' revenge, ship formid pirat blackbeard, jack find himself unexpect adventur which he doesn't know who fear more: blackbeard woman hi past.",1865
18,Men in Black 3,"agent j (will smith) k (tommi lee jones) are back...in time. j seen some inexplic thing hi 15 year with men black, nothing, not even aliens, perplex much hi wry, retic partner. when k' life fate planet are put at stake, agent j will have travel back time put thing right. j discov that there are secret univers that k never told - secret that will reveal themselv he team up with young agent k (josh brolin) save hi partner, agency, futur humankind. action comedi sciencefict timetravel timemachin alien fictionalgovernmentag seeingthefutur changinghistori willsmith tommyleejon joshbrolin agent j (will smith) k (tommi lee jones) are back...in time. j seen some inexplic thing hi 15 year with men black, nothing, not even aliens, perplex much hi wry, retic partner. when k' life fate planet are put at stake, agent j will have travel back time put thing right. j discov that there are secret univers that k never told - secret that will reveal themselv he team up with young agent k (josh brolin) save hi partner, agency, futur humankind.",41154
19,The Hobbit: The Battle of the Five Armies,"immedi after event desol smaug, bilbo dwarv tri defend erebor' mountain treasur other who claim it: men ruin laketown elv mirkwood. meanwhil armi orc led by azog defil march erebor, fuel by rise dark lord sauron. dwarves, elv men must unite, hope for middle-earth fall into bilbo' hands. action adventur fantasi corrupt elv dwarv orc middle-earth(tolkien) hobbit dragon battl unlikelyfriendship epicbattl swordandsorceri martinfreeman ianmckellen richardarmitag immedi after event desol smaug, bilbo dwarv tri defend erebor' mountain treasur other who claim it: men ruin laketown elv mirkwood. meanwhil armi orc led by azog defil march erebor, fuel by rise dark lord sauron. dwarves, elv men must unite, hope for middle-earth fall into bilbo' hands.",122917
